lane_id,det_id
139882023#3_0,e1det_139882023#3_0
139882024#3_0,e1det_139882024#3_0
139882024#4_0,e1det_139882024#4_0
139882024#5_0,e1det_139882024#5_0
142101048#0_0,e1det_142101048#0_0
142101048#0_1,e1det_142101048#0_1
142101048#1_0,e1det_142101048#1_0
142101048#1_1,e1det_142101048#1_1
142101048#5_0,e1det_142101048#5_0
142101048#5_1,e1det_142101048#5_1
142101066#0_0,e1det_142101066#0_0
142101066#1_0,e1det_142101066#1_0
143599422#1_0,e1det_143599422#1_0
143599422#1_1,e1det_143599422#1_1
143599422#1_2,e1det_143599422#1_2
143599453#1_0,e1det_143599453#1_0
143599462#1_0,e1det_143599462#1_0
143599463_0,e1det_143599463_0
143599463_1,e1det_143599463_1
143599465#7_0,e1det_143599465#7_0
143749968#2_0,e1det_143749968#2_0
143749968#2_1,e1det_143749968#2_1
143832409#0_0,e1det_143832409#0_0
143832409#0_1,e1det_143832409#0_1
143832409#1_0,e1det_143832409#1_0
143832409#1_1,e1det_143832409#1_1
143832435_0,e1det_143832435_0
143832435_1,e1det_143832435_1
143832436_0,e1det_143832436_0
143832436_1,e1det_143832436_1
144929507#3_0,e1det_144929507#3_0
144929507#3_1,e1det_144929507#3_1
144929509#1_0,e1det_144929509#1_0
144929509#2_0,e1det_144929509#2_0
144929509#3_0,e1det_144929509#3_0
144929514_0,e1det_144929514_0
144929516_0,e1det_144929516_0
144929519#0_0,e1det_144929519#0_0
144929519#2_0,e1det_144929519#2_0
144929520#0_0,e1det_144929520#0_0
144929520#4_0,e1det_144929520#4_0
144929520#4_1,e1det_144929520#4_1
144929523#3_0,e1det_144929523#3_0
144929524#1_0,e1det_144929524#1_0
144929524#2_0,e1det_144929524#2_0
144929524#3_0,e1det_144929524#3_0
144929524#4_0,e1det_144929524#4_0
145291210#0_0,e1det_145291210#0_0
145291210#1_0,e1det_145291210#1_0
145291212#1_0,e1det_145291212#1_0
145291213#13_0,e1det_145291213#13_0
145291213#15_0,e1det_145291213#15_0
145291213#17_0,e1det_145291213#17_0
145291213#19_0,e1det_145291213#19_0
145291213#1_0,e1det_145291213#1_0
145291213#22_0,e1det_145291213#22_0
145291213#2_0,e1det_145291213#2_0
145291213#3_0,e1det_145291213#3_0
145291213#4_0,e1det_145291213#4_0
145291213#6_0,e1det_145291213#6_0
145291213#7_0,e1det_145291213#7_0
145291213#8_0,e1det_145291213#8_0
145291215#10_0,e1det_145291215#10_0
145291215#14_0,e1det_145291215#14_0
145291215#15_0,e1det_145291215#15_0
145291215#16_0,e1det_145291215#16_0
145291215#17_0,e1det_145291215#17_0
145291215#18_0,e1det_145291215#18_0
145291215#20_0,e1det_145291215#20_0
145291215#21_0,e1det_145291215#21_0
145291215#22_0,e1det_145291215#22_0
145291215#23_0,e1det_145291215#23_0
145291215#2_0,e1det_145291215#2_0
145291215#6_0,e1det_145291215#6_0
145291215#9_0,e1det_145291215#9_0
145291220#2_0,e1det_145291220#2_0
145291249#0_0,e1det_145291249#0_0
145291249#1_0,e1det_145291249#1_0
145291249#2_0,e1det_145291249#2_0
145296839#0_0,e1det_145296839#0_0
145296839#11_0,e1det_145296839#11_0
145296839#12_0,e1det_145296839#12_0
145296839#17_0,e1det_145296839#17_0
145296839#18_0,e1det_145296839#18_0
